experiment_id,pipeline_name,node_name,model_variant,cpu_request,gpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
102,video,yolo,yolov5x,5,16,4Gi,1,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
103,video,yolo,yolov5x,5,16,4Gi,1,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
104,video,yolo,yolov5x,5,16,4Gi,1,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
105,video,yolo,yolov5x,5,16,4Gi,1,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
106,video,yolo,yolov5x,5,16,4Gi,2,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
107,video,yolo,yolov5x,5,16,4Gi,2,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
108,video,yolo,yolov5x,5,16,4Gi,2,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
109,video,yolo,yolov5x,5,16,4Gi,2,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
110,video,yolo,yolov5x,5,16,4Gi,2,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
111,video,yolo,yolov5x,5,16,4Gi,2,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
112,video,yolo,yolov5x,5,16,4Gi,2,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
113,video,yolo,yolov5x,5,16,4Gi,4,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
114,video,yolo,yolov5x,5,16,4Gi,4,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
115,video,yolo,yolov5x,5,16,4Gi,4,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
116,video,yolo,yolov5x,5,16,4Gi,4,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
117,video,yolo,yolov5x,5,16,4Gi,4,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
118,video,yolo,yolov5x,5,16,4Gi,4,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
119,video,yolo,yolov5x,5,16,4Gi,4,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
120,video,yolo,yolov5x,5,16,4Gi,8,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
121,video,yolo,yolov5x,5,16,4Gi,8,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
122,video,yolo,yolov5x,5,16,4Gi,8,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
123,video,yolo,yolov5x,5,16,4Gi,8,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
124,video,yolo,yolov5x,5,16,4Gi,8,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
125,video,yolo,yolov5x,5,16,4Gi,8,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
126,video,yolo,yolov5x,5,16,4Gi,8,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
127,video,yolo,yolov5x,5,16,4Gi,16,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
128,video,yolo,yolov5x,5,16,4Gi,16,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
129,video,yolo,yolov5x,5,16,4Gi,16,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
130,video,yolo,yolov5x,5,16,4Gi,16,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
131,video,yolo,yolov5x,5,16,4Gi,16,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
132,video,yolo,yolov5x,5,16,4Gi,16,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
133,video,yolo,yolov5x,5,16,4Gi,16,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
134,video,yolo,yolov5x,5,16,4Gi,32,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
135,video,yolo,yolov5x,5,16,4Gi,32,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
136,video,yolo,yolov5x,5,16,4Gi,32,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
137,video,yolo,yolov5x,5,16,4Gi,32,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
138,video,yolo,yolov5x,5,16,4Gi,32,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
139,video,yolo,yolov5x,5,16,4Gi,32,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
140,video,yolo,yolov5x,5,16,4Gi,32,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
141,video,yolo,yolov5x,5,16,4Gi,64,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
142,video,yolo,yolov5x,5,16,4Gi,64,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
143,video,yolo,yolov5x,5,16,4Gi,64,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
144,video,yolo,yolov5x,5,16,4Gi,64,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
145,video,yolo,yolov5x,5,16,4Gi,64,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
146,video,yolo,yolov5x,5,16,4Gi,64,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
147,video,yolo,yolov5x,5,16,4Gi,64,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
